public,player_name,player_name_pkey,,CREATE UNIQUE INDEX player_name_pkey ON public.player_name USING btree (player_id)
public,games,games_pkey,,CREATE UNIQUE INDEX games_pkey ON public.games USING btree (g_id)
public,atbats,atbats_pkey,,CREATE UNIQUE INDEX atbats_pkey ON public.atbats USING btree (ab_id)
public,teams,teams_pkey,,CREATE UNIQUE INDEX teams_pkey ON public.teams USING btree (team_id)
public,teams,teams_unq,,CREATE UNIQUE INDEX teams_unq ON public.teams USING btree (team_id)
public,games,score_idx,,"CREATE INDEX score_idx ON public.games USING btree (away_final_score, home_final_score)"
public,games,scoreaway_idx,,CREATE INDEX scoreaway_idx ON public.games USING btree (away_final_score)
public,games,scorehome_idx,,CREATE INDEX scorehome_idx ON public.games USING btree (home_final_score)
public,pitches,pitchtype_idx,,CREATE INDEX pitchtype_idx ON public.pitches USING btree (pitch_type)
public,pitches,result_idx,,CREATE INDEX result_idx ON public.pitches USING btree (result_of_pitch)
public,games,awayteams_idx,,CREATE INDEX awayteams_idx ON public.games USING btree (away_team)
public,games,hometeams_idx,,CREATE INDEX hometeams_idx ON public.games USING btree (home_team)
public,games,awayteamscore_idx,,CREATE INDEX awayteamscore_idx ON public.games USING btree (away_final_score)
public,games,hometeamsscore_idx,,CREATE INDEX hometeamsscore_idx ON public.games USING btree (home_final_score)
